Datetime,Day,Hour,Cat,Count ,Percent
05/11/2015 00:00,5,0,Negative,3,30
05/11/2015 01:00,5,1,Negative,7,77.77777778
05/11/2015 02:00,5,2,Negative,2,33.33333333
05/11/2015 03:00,5,3,Negative,1,16.66666667
05/11/2015 04:00,5,4,Negative,3,100
05/11/2015 05:00,5,5,Negative,0,0
05/11/2015 06:00,5,6,Negative,2,100
05/11/2015 07:00,5,7,Negative,9,64.28571429
05/11/2015 08:00,5,8,Negative,12,37.5
05/11/2015 09:00,5,9,Negative,10,32.25806452
05/11/2015 10:00,5,10,Negative,11,52.38095238
05/11/2015 11:00,5,11,Negative,17,32.0754717
05/11/2015 12:00,5,12,Negative,6,18.75
05/11/2015 13:00,5,13,Negative,12,35.29411765
05/11/2015 14:00,5,14,Negative,17,36.17021277
05/11/2015 15:00,5,15,Negative,6,18.18181818
05/11/2015 16:00,5,16,Negative,20,39.21568627
05/11/2015 17:00,5,17,Negative,21,15.2173913
05/11/2015 18:00,5,18,Negative,76,25.67567568
05/11/2015 19:00,5,19,Negative,100,33.11258278
05/11/2015 20:00,5,20,Negative,118,38.06451613
05/11/2015 21:00,5,21,Negative,98,33.56164384
05/11/2015 22:00,5,22,Negative,96,35.42435424
05/11/2015 23:00,5,23,Negative,61,36.09467456
05/11/2015 00:00,5,0,Neutral,2,20
05/11/2015 01:00,5,1,Neutral,4,40
05/11/2015 02:00,5,2,Neutral,1,11.11111111
05/11/2015 03:00,5,3,Neutral,3,50
05/11/2015 04:00,5,4,Neutral,3,50
05/11/2015 05:00,5,5,Neutral,0,0
05/11/2015 06:00,5,6,Neutral,1,50
05/11/2015 07:00,5,7,Neutral,0,0
05/11/2015 08:00,5,8,Neutral,3,21.42857143
05/11/2015 09:00,5,9,Neutral,13,40.625
05/11/2015 10:00,5,10,Neutral,11,35.48387097
05/11/2015 11:00,5,11,Neutral,6,28.57142857
05/11/2015 12:00,5,12,Neutral,27,50.94339623
05/11/2015 13:00,5,13,Neutral,16,50
05/11/2015 14:00,5,14,Neutral,13,38.23529412
05/11/2015 15:00,5,15,Neutral,23,48.93617021
05/11/2015 16:00,5,16,Neutral,16,48.48484848
05/11/2015 17:00,5,17,Neutral,22,43.1372549
05/11/2015 18:00,5,18,Neutral,85,61.5942029
05/11/2015 19:00,5,19,Neutral,169,57.09459459
05/11/2015 20:00,5,20,Neutral,159,52.64900662
05/11/2015 21:00,5,21,Neutral,145,46.77419355
05/11/2015 22:00,5,22,Neutral,146,50
05/11/2015 23:00,5,23,Neutral,134,49.44649446
05/11/2015 00:00,5,0,Positive,3,30
05/11/2015 01:00,5,1,Positive,1,11.11111111
05/11/2015 02:00,5,2,Positive,1,16.66666667
05/11/2015 03:00,5,3,Positive,2,33.33333333
05/11/2015 04:00,5,4,Positive,0,0
05/11/2015 05:00,5,5,Positive,1,50
05/11/2015 06:00,5,6,Positive,0,0
05/11/2015 07:00,5,7,Positive,2,14.28571429
05/11/2015 08:00,5,8,Positive,7,21.875
05/11/2015 09:00,5,9,Positive,10,32.25806452
05/11/2015 10:00,5,10,Positive,4,19.04761905
05/11/2015 11:00,5,11,Positive,9,16.98113208
05/11/2015 12:00,5,12,Positive,10,31.25
05/11/2015 13:00,5,13,Positive,9,26.47058824
05/11/2015 14:00,5,14,Positive,7,14.89361702
05/11/2015 15:00,5,15,Positive,11,33.33333333
05/11/2015 16:00,5,16,Positive,9,17.64705882
05/11/2015 17:00,5,17,Positive,32,23.1884058
05/11/2015 18:00,5,18,Positive,51,17.22972973
05/11/2015 19:00,5,19,Positive,43,14.2384106
05/11/2015 20:00,5,20,Positive,47,15.16129032
05/11/2015 21:00,5,21,Positive,48,16.43835616
05/11/2015 22:00,5,22,Positive,41,15.12915129
05/11/2015 23:00,5,23,Positive,25,14.79289941
